"Article","Number of tweets","Number of tweets(in thousands)","Date"
"coronavirus","338424","339","04/20/2020"
"covid","202177","203","04/20/2020"
"covid19","200568","201","04/20/2020"
"19","193726","194","04/20/2020"
"nan","85535","86","04/20/2020"
"people","50075","51","04/20/2020"
"amp","45364","46","04/20/2020"
"trump","40585","41","04/20/2020"
"via","37966","38","04/20/2020"
"pandemic","36066","37","04/20/2020"
"us","34208","35","04/20/2020"
"new","34039","35","04/20/2020"
"cases","33927","34","04/20/2020"
"lockdown","27452","28","04/20/2020"
"virus","26078","27","04/20/2020"
"one","25174","26","04/20/2020"
"news","24978","25","04/20/2020"
"like","24621","25","04/20/2020"
"china","23457","24","04/20/2020"
"get","22912","23","04/20/2020"
"crisis","22711","23","04/20/2020"
"time","22657","23","04/20/2020"
"world","20484","21","04/20/2020"
"deaths","19922","20","04/20/2020"
"20","19793","20","04/20/2020"
"help","19662","20","04/20/2020"
"health","19608","20","04/20/2020"
"need","18992","19","04/20/2020"
"home","18668","19","04/20/2020"
"di","18320","19","04/20/2020"
"realdonaldtrump","17689","18","04/20/2020"
"000","17316","18","04/20/2020"
"si","16095","17","04/20/2020"
"would","15876","16","04/20/2020"
"know","15676","16","04/20/2020"
"2020","15564","16","04/20/2020"
"government","15166","16","04/20/2020"
"et","15037","16","04/20/2020"
"state","14495","15","04/20/2020"
"testing","14456","15","04/20/2020"
"covidー19","14372","15","04/20/2020"
"please","14317","15","04/20/2020"
"il","14308","15","04/20/2020"
"go","14215","15","04/20/2020"
"could","14170","15","04/20/2020"
"see","13765","14","04/20/2020"
"des","13602","14","04/20/2020"
"many","13422","14","04/20/2020"
"good","13417","14","04/20/2020"
"today","13228","14","04/20/2020"
"stay","13089","14","04/20/2020"
"may","12960","13","04/20/2020"
"corona","12896","13","04/20/2020"
"due","12817","13","04/20/2020"
"per","12733","13","04/20/2020"
"work","12697","13","04/20/2020"
"death","12482","13","04/20/2020"
"die","12245","13","04/20/2020"
"still","12117","13","04/20/2020"
"take","12080","13","04/20/2020"
"says","12025","13","04/20/2020"
"casos","12014","13","04/20/2020"
"day","11959","12","04/20/2020"
"du","11897","12","04/20/2020"
"going","11896","12","04/20/2020"
"the","11871","12","04/20/2020"
"first","11824","12","04/20/2020"
"da","11627","12","04/20/2020"
"country","11608","12","04/20/2020"
"even","11530","12","04/20/2020"
"back","11377","12","04/20/2020"
"right","11319","12","04/20/2020"
"fight","11154","12","04/20/2020"
"test","11059","12","04/20/2020"
"make","11009","12","04/20/2020"
"est","10927","11","04/20/2020"
"live","10873","11","04/20/2020"
"support","10781","11","04/20/2020"
"think","10767","11","04/20/2020"
"workers","10684","11","04/20/2020"
"total","10602","11","04/20/2020"
"social","10598","11","04/20/2020"
"re","10597","11","04/20/2020"
"response","10567","11","04/20/2020"
"april","10544","11","04/20/2020"
"care","10505","11","04/20/2020"
"spread","10206","11","04/20/2020"
"also","10088","11","04/20/2020"
"na","10076","11","04/20/2020"
"let","9997","10","04/20/2020"
"want","9978","10","04/20/2020"
"well","9974","10","04/20/2020"
"times","9963","10","04/20/2020"
"pour","9963","10","04/20/2020"
"uk","9954","10","04/20/2020"
"outbreak","9750","10","04/20/2020"
"great","9749","10","04/20/2020"
"india","9648","10","04/20/2020"
"positive","9574","10","04/20/2020"
"way","9485","10","04/20/2020"
"read","9481","10","04/20/2020"
"patients","9465","10","04/20/2020"
"pandemia","9411","10","04/20/2020"
"say","9354","10","04/20/2020"
"president","9343","10","04/20/2020"
"10","9238","10","04/20/2020"
"business","9099","10","04/20/2020"
"hospital","9020","10","04/20/2020"
"states","9004","10","04/20/2020"
"said","8975","9","04/20/2020"
"stop","8953","9","04/20/2020"
"week","8860","9","04/20/2020"
"tests","8853","9","04/20/2020"
"much","8677","9","04/20/2020"
"keep","8673","9","04/20/2020"
"come","8622","9","04/20/2020"
"really","8464","9","04/20/2020"
"daily","8260","9","04/20/2020"
"last","8060","9","04/20/2020"
"must","8000","8","04/20/2020"
"stayhome","7933","8","04/20/2020"
"every","7863","8","04/20/2020"
"gt","7815","8","04/20/2020"
"public","7801","8","04/20/2020"
"non","7787","8","04/20/2020"
"thank","7783","8","04/20/2020"
"life","7702","8","04/20/2020"
"amid","7626","8","04/20/2020"
"year","7612","8","04/20/2020"
"pas","7589","8","04/20/2020"
"latest","7544","8","04/20/2020"
"video","7524","8","04/20/2020"
"money","7479","8","04/20/2020"
"america","7455","8","04/20/2020"
"dr","7359","8","04/20/2020"
"to","7335","8","04/20/2020"
"media","7310","8","04/20/2020"
"economy","7277","8","04/20/2020"
"job","7277","8","04/20/2020"
"free","7275","8","04/20/2020"
"true","7246","8","04/20/2020"
"look","7224","8","04/20/2020"
"lives","7215","8","04/20/2020"
"days","7204","8","04/20/2020"
"number","7180","8","04/20/2020"
"dan","7164","8","04/20/2020"
"americans","7140","8","04/20/2020"
"update","7104","8","04/20/2020"
"youtube","7098","8","04/20/2020"
"covid_19","7083","8","04/20/2020"
"million","7049","8","04/20/2020"
"open","7003","8","04/20/2020"
"data","6920","7","04/20/2020"
"real","6909","7","04/20/2020"
"man","6905","7","04/20/2020"
"got","6900","7","04/20/2020"
"usa","6865","7","04/20/2020"
"post","6804","7","04/20/2020"
"working","6775","7","04/20/2020"
"safe","6754","7","04/20/2020"
"vía","6678","7","04/20/2020"
"app","6670","7","04/20/2020"
"oil","6663","7","04/20/2020"
"em","6652","7","04/20/2020"
"businesses","6632","7","04/20/2020"
"face","6628","7","04/20/2020"
"made","6627","7","04/20/2020"
"au","6570","7","04/20/2020"
"died","6569","7","04/20/2020"
"gobierno","6554","7","04/20/2020"
"everyone","6539","7","04/20/2020"
"global","6534","7","04/20/2020"
"une","6531","7","04/20/2020"
"com","6527","7","04/20/2020"
"thanks","6485","7","04/20/2020"
"use","6479","7","04/20/2020"
"sur","6478","7","04/20/2020"
"medical","6460","7","04/20/2020"
"quarantine","6442","7","04/20/2020"
"never","6432","7","04/20/2020"
"hope","6430","7","04/20/2020"
"relief","6307","7","04/20/2020"
"together","6304","7","04/20/2020"
"24","6257","7","04/20/2020"
"family","6237","7","04/20/2020"
"another","6214","7","04/20/2020"
"two","6138","7","04/20/2020"
"risk","6134","7","04/20/2020"
"next","6113","7","04/20/2020"
"give","6088","7","04/20/2020"
"end","5965","6","04/20/2020"
"case","5962","6","04/20/2020"
"in","5957","6","04/20/2020"
"watch","5921","6","04/20/2020"
"since","5914","6","04/20/2020"
"salud","5882","6","04/20/2020"
"online","5880","6","04/20/2020"
"getting","5878","6","04/20/2020"
"food","5873","6","04/20/2020"
"dans","5870","6","04/20/2020"
"around","5867","6","04/20/2020"
"countries","5853","6","04/20/2020"
"confirmed","5853","6","04/20/2020"
"twitter","5853","6","04/20/2020"
"vaccine","5820","6","04/20/2020"
"check","5790","6","04/20/2020"
"não","5757","6","04/20/2020"
"without","5752","6","04/20/2020"
"better","5731","6","04/20/2020"
"god","5717","6","04/20/2020"
"tested","5673","6","04/20/2020"
"40","5618","6","04/20/2020"
"article","5557","6","04/20/2020"
"updates","5546","6","04/20/2020"
"ca","5546","6","04/20/2020"
"100","5545","6","04/20/2020"
"mais","5517","6","04/20/2020"
"flu","5516","6","04/20/2020"
"qui","5503","6","04/20/2020"
"yet","5497","6","04/20/2020"
"ondrinaivomvaa","5484","6","04/20/2020"
"done","5456","6","04/20/2020"
"numbers","5430","6","04/20/2020"
"small","5358","6","04/20/2020"
"weeks","5355","6","04/20/2020"
"call","5346","6","04/20/2020"
"long","5311","6","04/20/2020"
"plus","5281","6","04/20/2020"
"ser","5275","6","04/20/2020"
"va","5272","6","04/20/2020"
"information","5250","6","04/20/2020"
"pay","5241","6","04/20/2020"
"30","5240","6","04/20/2020"
"best","5228","6","04/20/2020"
"county","5222","6","04/20/2020"
"community","5221","6","04/20/2020"
"che","5221","6","04/20/2020"
"order","5211","6","04/20/2020"
"needs","5198","6","04/20/2020"
"impact","5187","6","04/20/2020"
"love","5187","6","04/20/2020"
"hoy","5177","6","04/20/2020"
"report","5170","6","04/20/2020"
"and","5145","6","04/20/2020"
"distancing","5123","6","04/20/2020"
"already","5117","6","04/20/2020"
"cnn","5089","6","04/20/2020"
"house","5072","6","04/20/2020"
"find","5063","6","04/20/2020"
"far","5049","6","04/20/2020"
"ve","5033","6","04/20/2020"
"show","5009","6","04/20/2020"
"ne","4998","5","04/20/2020"
"país","4982","5","04/20/2020"
"cuarentena","4980","5","04/20/2020"
"part","4978","5","04/20/2020"
"plan","4970","5","04/20/2020"
"masks","4967","5","04/20/2020"
"york","4931","5","04/20/2020"
"chinese","4906","5","04/20/2020"
"staff","4906","5","04/20/2020"
"thing","4891","5","04/20/2020"
"restrictions","4884","5","04/20/2020"
"pac","4878","5","04/20/2020"
"important","4854","5","04/20/2020"
"situation","4846","5","04/20/2020"
"personas","4833","5","04/20/2020"
"ppe","4832","5","04/20/2020"
"reported","4831","5","04/20/2020"
"mundo","4828","5","04/20/2020"
"start","4824","5","04/20/2020"
"rate","4817","5","04/20/2020"
"reopen","4776","5","04/20/2020"
"put","4770","5","04/20/2020"
"um","4764","5","04/20/2020"
"hospitals","4747","5","04/20/2020"
"eu","4730","5","04/20/2020"
"wrong","4726","5","04/20/2020"
"11","4663","5","04/20/2020"
"bill","4647","5","04/20/2020"
"anyone","4646","5","04/20/2020"
"story","4641","5","04/20/2020"
"sure","4639","5","04/20/2020"
"casa","4629","5","04/20/2020"
"ce","4621","5","04/20/2020"
"protests","4617","5","04/20/2020"
"big","4612","5","04/20/2020"
"15","4596","5","04/20/2020"
"12","4552","5","04/20/2020"
"reports","4525","5","04/20/2020"
"der","4523","5","04/20/2020"
"years","4519","5","04/20/2020"
"healthcare","4513","5","04/20/2020"
"infected","4488","5","04/20/2020"
"things","4487","5","04/20/2020"
"top","4481","5","04/20/2020"
"others","4480","5","04/20/2020"
"using","4463","5","04/20/2020"
"something","4455","5","04/20/2020"
"gov","4427","5","04/20/2020"
"american","4424","5","04/20/2020"
"wuhan","4414","5","04/20/2020"
"city","4413","5","04/20/2020"
"might","4407","5","04/20/2020"
"symptoms","4404","5","04/20/2020"
"protect","4392","5","04/20/2020"
"nhs","4388","5","04/20/2020"
"economic","4366","5","04/20/2020"
"across","4364","5","04/20/2020"
"full","4364","5","04/20/2020"
"making","4361","5","04/20/2020"
"trying","4343","5","04/20/2020"
"study","4341","5","04/20/2020"
"away","4340","5","04/20/2020"
"join","4315","5","04/20/2020"
"control","4302","5","04/20/2020"
"par","4296","5","04/20/2020"
"old","4284","5","04/20/2020"
"nothing","4283","5","04/20/2020"
"disease","4277","5","04/20/2020"
"doctors","4274","5","04/20/2020"
"monday","4240","5","04/20/2020"
"france","4235","5","04/20/2020"
"of","4233","5","04/20/2020"
"believe","4224","5","04/20/2020"
"share","4221","5","04/20/2020"
"local","4221","5","04/20/2020"
"someone","4218","5","04/20/2020"
"place","4216","5","04/20/2020"
"governor","4209","5","04/20/2020"
"04","4197","5","04/20/2020"
"sa","4193","5","04/20/2020"
"gente","4171","5","04/20/2020"
"continue","4159","5","04/20/2020"
"bad","4153","5","04/20/2020"
"ever","4147","5","04/20/2020"
"person","4136","5","04/20/2020"
"taking","4134","5","04/20/2020"
"national","4133","5","04/20/2020"
"save","4133","5","04/20/2020"
"enough","4121","5","04/20/2020"
"change","4118","5","04/20/2020"
"yes","4113","5","04/20/2020"
"je","4100","5","04/20/2020"
"govt","4051","5","04/20/2020"
"high","4045","5","04/20/2020"
"south","4041","5","04/20/2020"
"month","4036","5","04/20/2020"
"anti","4031","5","04/20/2020"
"ahora","4030","5","04/20/2020"
"de","4020","5","04/20/2020"
"solo","4020","5","04/20/2020"
"dead","4005","5","04/20/2020"
"germany","3990","4","04/20/2020"
"it","3986","4","04/20/2020"
"white","3983","4","04/20/2020"
"hit","3937","4","04/20/2020"
"coming","3936","4","04/20/2020"
"50","3934","4","04/20/2020"
"team","3932","4","04/20/2020"
"stayathome","3927","4","04/20/2020"
"españa","3926","4","04/20/2020"
"soon","3922","4","04/20/2020"
"und","3920","4","04/20/2020"
"pm","3916","4","04/20/2020"
"bien","3914","4","04/20/2020"
"medidas","3913","4","04/20/2020"
"tell","3902","4","04/20/2020"
"children","3897","4","04/20/2020"
"14","3897","4","04/20/2020"
"rt","3893","4","04/20/2020"
"demand","3862","4","04/20/2020"
"toll","3839","4","04/20/2020"
"research","3835","4","04/20/2020"
"less","3833","4","04/20/2020"
"oh","3821","4","04/20/2020"
"follow","3818","4","04/20/2020"
"mask","3817","4","04/20/2020"
"dos","3808","4","04/20/2020"
"infection","3801","4","04/20/2020"
"rel","3798","4","04/20/2020"
"this","3796","4","04/20/2020"
"href","3793","4","04/20/2020"
"nofollow","3784","4","04/20/2020"
"nuevos","3773","4","04/20/2020"
"cause","3761","4","04/20/2020"
"link","3749","4","04/20/2020"
"point","3749","4","04/20/2020"
"fake","3745","4","04/20/2020"
"experts","3745","4","04/20/2020"
"sick","3744","4","04/20/2020"
"contact","3742","4","04/20/2020"
"confinement","3736","4","04/20/2020"
"vous","3728","4","04/20/2020"
"yang","3720","4","04/20/2020"
"population","3718","4","04/20/2020"
"así","3717","4","04/20/2020"
"coronaviruspandemic","3697","4","04/20/2020"
"lost","3695","4","04/20/2020"
"día","3694","4","04/20/2020"
"future","3659","4","04/20/2020"
"always","3658","4","04/20/2020"
"emergency","3652","4","04/20/2020"
"facebook","3639","4","04/20/2020"
"march","3629","4","04/20/2020"
"lot","3611","4","04/20/2020"
"presidente","3611","4","04/20/2020"
"measures","3605","4","04/20/2020"
"briefing","3601","4","04/20/2020"
"human","3590","4","04/20/2020"
"everything","3574","4","04/20/2020"
"police","3572","4","04/20/2020"
"van","3566","4","04/20/2020"
"treatment","3560","4","04/20/2020"
"das","3555","4","04/20/2020"
"hard","3545","4","04/20/2020"
"saying","3527","4","04/20/2020"
"understand","3523","4","04/20/2020"
"कर","3523","4","04/20/2020"
"18","3505","4","04/20/2020"
"21","3488","4","04/20/2020"
"mas","3485","4","04/20/2020"
"force","3483","4","04/20/2020"
"nous","3461","4","04/20/2020"
"feel","3453","4","04/20/2020"
"increase","3451","4","04/20/2020"
"bbc","3444","4","04/20/2020"
"federal","3427","4","04/20/2020"
"united","3424","4","04/20/2020"
"breaking","3420","4","04/20/2020"
"quedateencasa","3415","4","04/20/2020"
"months","3414","4","04/20/2020"
"ll","3414","4","04/20/2020"
"protest","3403","4","04/20/2020"
"early","3402","4","04/20/2020"
"ini","3390","4","04/20/2020"
"little","3385","4","04/20/2020"
"nigeria","3385","4","04/20/2020"
"system","3378","4","04/20/2020"
"learn","3365","4","04/20/2020"
"info","3351","4","04/20/2020"
"governors","3346","4","04/20/2020"
"possible","3336","4","04/20/2020"
"recovered","3329","4","04/20/2020"
"actually","3327","4","04/20/2020"
"questions","3324","4","04/20/2020"
"shit","3308","4","04/20/2020"
"thought","3304","4","04/20/2020"
"abril","3302","4","04/20/2020"
"no","3300","4","04/20/2020"
"war","3299","4","04/20/2020"
"fund","3294","4","04/20/2020"
"coronavírus","3292","4","04/20/2020"
"is","3285","4","04/20/2020"
"essential","3270","4","04/20/2020"
"fuck","3268","4","04/20/2020"
"aid","3260","4","04/20/2020"
"maybe","3254","4","04/20/2020"
"hacer","3252","4","04/20/2020"
"13","3250","4","04/20/2020"
"millions","3250","4","04/20/2020"
"anything","3248","4","04/20/2020"
"kill","3244","4","04/20/2020"
"la","3241","4","04/20/2020"
"we","3235","4","04/20/2020"
"stupid","3231","4","04/20/2020"
"power","3229","4","04/20/2020"
"protesters","3218","4","04/20/2020"
"ai","3218","4","04/20/2020"
"called","3212","4","04/20/2020"
"shows","3206","4","04/20/2020"
"families","3205","4","04/20/2020"
"you","3204","4","04/20/2020"
"needed","3200","4","04/20/2020"
"web","3197","4","04/20/2020"
"gop","3195","4","04/20/2020"
"qu","3194","4","04/20/2020"
"looking","3176","4","04/20/2020"
"el","3174","4","04/20/2020"
"thousands","3165","4","04/20/2020"
"leaders","3164","4","04/20/2020"
"hands","3149","4","04/20/2020"
"companies","3147","4","04/20/2020"
"avec","3146","4","04/20/2020"
"battle","3144","4","04/20/2020"
"services","3136","4","04/20/2020"
"billion","3134","4","04/20/2020"
"administration","3120","4","04/20/2020"
"school","3118","4","04/20/2020"
"set","3116","4","04/20/2020"
"told","3111","4","04/20/2020"
"on","3110","4","04/20/2020"
"puede","3105","4","04/20/2020"
"dying","3104","4","04/20/2020"
"least","3104","4","04/20/2020"
"cómo","3103","4","04/20/2020"
"17","3085","4","04/20/2020"
"mil","3083","4","04/20/2020"
"left","3076","4","04/20/2020"
"personal","3075","4","04/20/2020"
"especially","3073","4","04/20/2020"
"self","3071","4","04/20/2020"
"travel","3070","4","04/20/2020"
"air","3064","4","04/20/2020"
"normal","3062","4","04/20/2020"
"brasil","3052","4","04/20/2020"
"remember","3050","4","04/20/2020"
"related","3045","4","04/20/2020"
"low","3040","4","04/20/2020"
"sign","3031","4","04/20/2020"
"lagos","3021","4","04/20/2020"
"16","3017","4","04/20/2020"
"poor","3008","4","04/20/2020"
"australia","3006","4","04/20/2020"
"doctor","2991","3","04/20/2020"
"muertes","2989","3","04/20/2020"
"science","2988","3","04/20/2020"
"suffering","2985","3","04/20/2020"
"etc","2985","3","04/20/2020"
"reduce","2980","3","04/20/2020"
"immigration","2965","3","04/20/2020"
"available","2960","3","04/20/2020"
"worst","2955","3","04/20/2020"
"market","2953","3","04/20/2020"
"used","2950","3","04/20/2020"
"muertos","2950","3","04/20/2020"
"potus","2941","3","04/20/2020"
"nation","2941","3","04/20/2020"
"including","2938","3","04/20/2020"
"press","2921","3","04/20/2020"
"deal","2920","3","04/20/2020"
"makes","2919","3","04/20/2020"
"women","2917","3","04/20/2020"
"at","2917","3","04/20/2020"
"ver","2910","3","04/20/2020"
"méxico","2909","3","04/20/2020"
"democrats","2908","3","04/20/2020"
"act","2904","3","04/20/2020"
"donald","2899","3","04/20/2020"
"question","2897","3","04/20/2020"
"second","2892","3","04/20/2020"
"service","2887","3","04/20/2020"
"gracias","2886","3","04/20/2020"
"fighting","2882","3","04/20/2020"
"safety","2872","3","04/20/2020"
"ago","2870","3","04/20/2020"
"500","2869","3","04/20/2020"
"tweet","2864","3","04/20/2020"
"students","2857","3","04/20/2020"
"fact","2853","3","04/20/2020"
"action","2850","3","04/20/2020"
"africa","2847","3","04/20/2020"
"listen","2845","3","04/20/2020"
"citizens","2842","3","04/20/2020"
"industry","2838","3","04/20/2020"
"22","2835","3","04/20/2020"
"political","2831","3","04/20/2020"
"spreading","2829","3","04/20/2020"
"party","2829","3","04/20/2020"
"georgia","2828","3","04/20/2020"
"seen","2820","3","04/20/2020"
"truth","2805","3","04/20/2020"
"25","2804","3","04/20/2020"
"negative","2789","3","04/20/2020"
"key","2786","3","04/20/2020"
"pacientes","2786","3","04/20/2020"
"efforts","2783","3","04/20/2020"
"jobs","2772","3","04/20/2020"
"current","2771","3","04/20/2020"
"orders","2771","3","04/20/2020"
"leadership","2769","3","04/20/2020"
"provide","2768","3","04/20/2020"
"staysafe","2764","3","04/20/2020"
"00","2763","3","04/20/2020"
"tax","2761","3","04/20/2020"
"for","2753","3","04/20/2020"
"mean","2747","3","04/20/2020"
"sir","2742","3","04/20/2020"
"hours","2738","3","04/20/2020"
"blame","2732","3","04/20/2020"
"wants","2730","3","04/20/2020"
"sad","2728","3","04/20/2020"
"three","2723","3","04/20/2020"
"ask","2721","3","04/20/2020"
"reason","2718","3","04/20/2020"
"found","2716","3","04/20/2020"
"200","2712","3","04/20/2020"
"helping","2712","3","04/20/2020"
"patient","2710","3","04/20/2020"
"idea","2705","3","04/20/2020"
"line","2696","3","04/20/2020"
"lab","2691","3","04/20/2020"
"based","2691","3","04/20/2020"
"officials","2687","3","04/20/2020"
"front","2683","3","04/20/2020"
"vida","2670","3","04/20/2020"
"able","2666","3","04/20/2020"
"ou","2664","3","04/20/2020"
"closed","2663","3","04/20/2020"
"webinar","2660","3","04/20/2020"
"en","2658","3","04/20/2020"
"campaign","2648","3","04/20/2020"
"fucking","2643","3","04/20/2020"
"caso","2642","3","04/20/2020"
"talk","2642","3","04/20/2020"
"minister","2638","3","04/20/2020"
"employees","2635","3","04/20/2020"
"affected","2634","3","04/20/2020"
"hace","2631","3","04/20/2020"
"sont","2630","3","04/20/2020"
"different","2628","3","04/20/2020"
"foxnews","2627","3","04/20/2020"
"italy","2618","3","04/20/2020"
"menos","2617","3","04/20/2020"
"whole","2608","3","04/20/2020"
"años","2608","3","04/20/2020"
"fallecidos","2599","3","04/20/2020"
"society","2598","3","04/20/2020"
"worse","2595","3","04/20/2020"
"hear","2595","3","04/20/2020"
"recovery","2592","3","04/20/2020"
"close","2588","3","04/20/2020"
"cdc","2586","3","04/20/2020"
"problem","2581","3","04/20/2020"
"wait","2568","3","04/20/2020"
"homes","2568","3","04/20/2020"
"zero","2566","3","04/20/2020"
"all","2566","3","04/20/2020"
"black","2558","3","04/20/2020"
"funding","2555","3","04/20/2020"
"become","2552","3","04/20/2020"
"crise","2545","3","04/20/2020"
"florida","2545","3","04/20/2020"
"lies","2543","3","04/20/2020"
"mayor","2542","3","04/20/2020"
"else","2541","3","04/20/2020"
"group","2540","3","04/20/2020"
"likely","2539","3","04/20/2020"
"nurses","2538","3","04/20/2020"
"dies","2533","3","04/20/2020"
"canada","2532","3","04/20/2020"
"rest","2526","3","04/20/2020"
"instead","2517","3","04/20/2020"
"friends","2515","3","04/20/2020"
"despite","2514","3","04/20/2020"
"advice","2508","3","04/20/2020"
"aquí","2495","3","04/20/2020"
"días","2482","3","04/20/2020"
"ist","2480","3","04/20/2020"
"seems","2475","3","04/20/2020"
"ways","2473","3","04/20/2020"
"morning","2466","3","04/20/2020"
"task","2465","3","04/20/2020"
"means","2464","3","04/20/2020"
"highest","2462","3","04/20/2020"
"stimulus","2458","3","04/20/2020"
"access","2456","3","04/20/2020"
"hi","2452","3","04/20/2020"
"gets","2450","3","04/20/2020"
"company","2439","3","04/20/2020"
"dengan","2438","3","04/20/2020"
"killed","2436","3","04/20/2020"
"korea","2436","3","04/20/2020"
"covid2019","2434","3","04/20/2020"
"try","2432","3","04/20/2020"
"antibody","2432","3","04/20/2020"
"started","2431","3","04/20/2020"
"tv","2424","3","04/20/2020"
"kids","2423","3","04/20/2020"
"untuk","2422","3","04/20/2020"
"fear","2420","3","04/20/2020"
"wow","2416","3","04/20/2020"
"digital","2415","3","04/20/2020"
"history","2411","3","04/20/2020"
"uma","2410","3","04/20/2020"
"shut","2403","3","04/20/2020"
"residents","2400","3","04/20/2020"
"vulnerable","2396","3","04/20/2020"
"happy","2392","3","04/20/2020"
"interesting","2392","3","04/20/2020"
"visit","2391","3","04/20/2020"
"2019","2390","3","04/20/2020"
"hold","2381","3","04/20/2020"
"infections","2379","3","04/20/2020"
"general","2376","3","04/20/2020"
"past","2376","3","04/20/2020"
"420day","2376","3","04/20/2020"
"contagios","2373","3","04/20/2020"
"caused","2371","3","04/20/2020"
"plans","2368","3","04/20/2020"
"wave","2363","3","04/20/2020"
"leader","2362","3","04/20/2020"
"members","2358","3","04/20/2020"
"isolation","2357","3","04/20/2020"
"wo","2357","3","04/20/2020"
"johnson","2355","3","04/20/2020"
"ones","2352","3","04/20/2020"
"assistance","2351","3","04/20/2020"
"reopening","2348","3","04/20/2020"
"resources","2344","3","04/20/2020"
"que","2344","3","04/20/2020"
"behind","2342","3","04/20/2020"
"financial","2339","3","04/20/2020"
"italia","2338","3","04/20/2020"
"oms","2327","3","04/20/2020"
"given","2324","3","04/20/2020"
"giving","2321","3","04/20/2020"
"yg","2317","3","04/20/2020"
"het","2316","3","04/20/2020"
"tamil","2316","3","04/20/2020"
"aux","2313","3","04/20/2020"
"taken","2309","3","04/20/2020"
"sense","2307","3","04/20/2020"
"heart","2307","3","04/20/2020"
"virtual","2303","3","04/20/2020"
"prices","2293","3","04/20/2020"
"nursing","2290","3","04/20/2020"
"supply","2283","3","04/20/2020"
"europe","2283","3","04/20/2020"
"scheme","2280","3","04/20/2020"
"ahead","2277","3","04/20/2020"
"living","2276","3","04/20/2020"
"agree","2276","3","04/20/2020"
"nuevo","2268","3","04/20/2020"
"un","2268","3","04/20/2020"
"पर","2266","3","04/20/2020"
"claims","2257","3","04/20/2020"
"protesting","2252","3","04/20/2020"
"sunday","2251","3","04/20/2020"
"pruebas","2250","3","04/20/2020"
"cada","2249","3","04/20/2020"
"nyc","2249","3","04/20/2020"
"calls","2247","3","04/20/2020"
"lol","2243","3","04/20/2020"
"mejor","2242","3","04/20/2020"
"médicos","2241","3","04/20/2020"
"hand","2241","3","04/20/2020"
"almost","2240","3","04/20/2020"
"socialdistancing","2236","3","04/20/2020"
"boris","2235","3","04/20/2020"
"knew","2228","3","04/20/2020"
"comes","2228","3","04/20/2020"
"return","2228","3","04/20/2020"
"sector","2223","3","04/20/2020"
"nadu","2223","3","04/20/2020"
"chief","2218","3","04/20/2020"
"warns","2216","3","04/20/2020"
"mental","2212","3","04/20/2020"
"ready","2211","3","04/20/2020"
"law","2208","3","04/20/2020"
"fox","2208","3","04/20/2020"
"lt","2206","3","04/20/2020"
"critical","2205","3","04/20/2020"
"according","2205","3","04/20/2020"
"número","2203","3","04/20/2020"
"talking","2201","3","04/20/2020"
"23","2201","3","04/20/2020"
"ça","2199","3","04/20/2020"
"confirmados","2197","3","04/20/2020"
"contre","2192","3","04/20/2020"
"issues","2191","3","04/20/2020"
"went","2190","3","04/20/2020"
"60","2188","3","04/20/2020"
"blood","2185","3","04/20/2020"
"vez","2184","3","04/20/2020"
"hoax","2184","3","04/20/2020"
"información","2180","3","04/20/2020"
"ils","2177","3","04/20/2020"
"serious","2175","3","04/20/2020"
"dice","2172","3","04/20/2020"
"tem","2170","3","04/20/2020"
"narendramodi","2160","3","04/20/2020"
"msnbc","2160","3","04/20/2020"
"novel","2160","3","04/20/2020"
"goes","2157","3","04/20/2020"
"price","2149","3","04/20/2020"
"ok","2147","3","04/20/2020"
"70","2144","3","04/20/2020"
"that","2143","3","04/20/2020"
"fauci","2141","3","04/20/2020"
"nicht","2141","3","04/20/2020"
"play","2138","3","04/20/2020"
"hey","2131","3","04/20/2020"
"higher","2130","3","04/20/2020"
"80","2130","3","04/20/2020"
"stand","2128","3","04/20/2020"
"move","2124","3","04/20/2020"
"took","2121","3","04/20/2020"
"mal","2121","3","04/20/2020"
"michigan","2116","3","04/20/2020"
"run","2114","3","04/20/2020"
"frente","2112","3","04/20/2020"
"list","2111","3","04/20/2020"
"maga","2111","3","04/20/2020"
"communities","2110","3","04/20/2020"
"course","2107","3","04/20/2020"
"mit","2105","3","04/20/2020"
"रह","2104","3","04/20/2020"
"message","2101","3","04/20/2020"
"thread","2100","3","04/20/2020"
"issue","2099","3","04/20/2020"
"probably","2093","3","04/20/2020"
"den","2093","3","04/20/2020"
"among","2092","3","04/20/2020"
"im","2089","3","04/20/2020"
"facts","2087","3","04/20/2020"
"sars","2084","3","04/20/2020"
"happen","2082","3","04/20/2020"
"opening","2082","3","04/20/2020"
"release","2082","3","04/20/2020"
"bolsonaro","2074","3","04/20/2020"
"moment","2074","3","04/20/2020"
"looks","2070","3","04/20/2020"
"international","2067","3","04/20/2020"
"reporting","2060","3","04/20/2020"
"rights","2060","3","04/20/2020"
"level","2054","3","04/20/2020"
"claim","2047","3","04/20/2020"
"sorry","2047","3","04/20/2020"
"mass","2044","3","04/20/2020"
"venezuela","2041","3","04/20/2020"
"prevent","2035","3","04/20/2020"
"argentina","2031","3","04/20/2020"
"policy","2031","3","04/20/2020"
"following","2030","3","04/20/2020"
"send","2022","3","04/20/2020"
"vote","2021","3","04/20/2020"
"gon","2021","3","04/20/2020"
"body","2019","3","04/20/2020"
"continues","2019","3","04/20/2020"
